Compound Name,Molecular Formula,SMILES,P（蛋白质）,对接分数,PDB id,选取链条,Select parameters
Trametenolic acid,C30H48O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,,,,,
Mongholicoside Ⅰ,C36H60O9,,,,,,
Astragaloside Ⅷ,C47H76O17,,,,,,
Astragaloside Ⅷ,C47H76O17,,,,,,
Isopimpinellin,C13H10O5,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,CXCL8,-6.1808,6LFM ,R-C-X-C chemokine receptor type 2,5
Daucosterol,C35H60O6,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C,CXCL8,-7.2022,6LFM ,R-C-X-C chemokine receptor type 2,5
Lablaboside F,C66H106O31,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O)O)O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3OC(=O)[C@@]45CC[C@@]6(C(=CC[C@H]7[C@]6(CC[C@@H]8[C@@]7(CC[C@@H](C8(C)C)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)C(=O)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)C)C)[C@@H]4CC(CC5)(C)C)C)CO)O)O)C)O)O)O
CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(C(C(OC3OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(C(O9)C(=O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(C(O1)C)O)O)O)C)(C)C)CO)O)O)C)O)O)O",CXCL8,,6LFM ,R-C-X-C chemokine receptor type 2,5
"3,4-Dihydroxycinnamic acid",C9H8O4,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,CXCL8,-6.1528,6LFM ,R-C-X-C chemokine receptor type 2,5
Kaempferol-4 '-methylether-3-glucoside,C22H22O11,,,,,,
Portulaca moniterpene A,C16H26O7,,,,,,
Methylnissolin-3-O-glucoside,C23H26O10,COC1=C(C2=C(C=C1)[C@@H]3COC4=C([C@@H]3O2)C=CC(=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC,CXCL8,-7.3637,6LFM ,R-C-X-C chemokine receptor type 2,5
Behenic acid,C22H44O2,CCCCCCCCCCCCCCCCCCCCCC(=O)O,CXCL8,-2.1376,6LFM ,R-C-X-C chemokine receptor type 2,5
Scoparone,C11H10O4,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,CXCL8,-6.2266,6LFM ,R-C-X-C chemokine receptor type 2,5
Oxylatine - 7-O-beta-D-glucoside,C22H24O9,,,,,,
Quercetin 3-methyl ether,C16H12O7,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CXCL8,-6.74,6LFM ,R-C-X-C chemokine receptor type 2,5
Quercetin 3-methyl ether,C16H12O7,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,,
