Compound Name,Molecular Formula,SMILES,P,对接分数（8WE3),2Q9S(2007年）,2QM9（2007年）A链,2QM9（2007年）B链
Quercetin 3-methyl ether,C16H12O7,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,FABP4,-6.5302,-6.4376,×,-4.7833
Quercetin 3-methyl ether,C16H12O7,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,,
Licuraside,C26H30O13,C1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C(C=C3)C(=O)/C=C/C4=CC=C(C=C4)O)O)CO)O)O)O)(CO)O,FABP4,-7.1589,-7.0498,×,-0.8226
Ononin,C22H22O9,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,FABP4,-6.5427,-6.5571,×,-6.6502
Lonchocarpenin,C27H28O6,CC(=CCC1=C2C(=C(C3=C1OC(C=C3)(C)C)OC)C(=C(C(=O)O2)C4=CC=C(C=C4)OC)O)C,FABP4,-7.158,-7.0215,×,1.6232
Kingianoside C,C45H72O20,C[C@H]1C2C(CC3[C@@]2(C(=O)CC4C3CC=C5[C@@]4(CC[C@@H](C5)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)C)C)OC1(CC[C@@H](C)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O,FABP4,×,×,×,59.5186
Isorhamnetin 3-glucoside,C22H22O12,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,FABP4,-7.0198,-6.8619,×,-4.6862
"7,2',3'-trihydroxy-4'-methoxyisoflavan",C16H16O5,,,,,,
Formononetin,C16H12O4,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,FABP4,-6.3718,-4.4564,×,-4.0866
Licochalcone B,C16H14O5,COC1=C(C=CC(=C1O)O)/C=C/C(=O)C2=CC=C(C=C2)O,FABP4,-6.4775,-5.8067,×,-6.8332
N-Methyltyramine,C9H13NO,CNCCC1=CC=C(C=C1)O,FABP4,-6.2934,-6.3605,×,-6.0609
Astragalus membranaceus stem saponin D,C38H62O11,,,,,,
protocatechuic acid,C7H6O4,C1=CC(=C(C=C1C(=O)O)O)O,FABP4,-6.4684,-6.308,×,-6.447
Lablaboside A,C54H86O23,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)C)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,FABP4,×,×,×,×
Polycanthine,C15H19NO3,,,,,,
Kingianoside A,C39H60O14,C[C@@H]1CC[C@@]2([C@H](C3C(O2)CC4[C@@]3(C(=O)CC5C4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)C)C)C)OC1,FABP4,×,×,×,54.4993
Glycyrrhetol,C30H48O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,FABP4,×,-6.492,×,8.2414
Glycyrrhetol,C30H48O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,,,,,
Agroastragaloside Ⅰ,C47H76O17,,,,,,
Agroastragaloside Ⅰ,C47H76O17,,,,,,
